method,lambda_reg,k_reg,randomized,corruption,severity,alpha,target_coverage,qhat,empirical_coverage,coverage_gap,avg_set_size
RAPS,0.01,2,True,gaussian_noise,1,0.1,0.9,0.9214879870414734,0.8155,-0.08450000000000002,1.4443
RAPS,0.01,2,True,gaussian_noise,1,0.05,0.95,0.9687336683273315,0.8802,-0.06979999999999997,1.7486
RAPS,0.01,2,True,gaussian_noise,2,0.1,0.9,0.9214879870414734,0.6853,-0.2147,1.6394
RAPS,0.01,2,True,gaussian_noise,2,0.05,0.95,0.9687336683273315,0.7611,-0.18889999999999996,2.0387
RAPS,0.01,2,True,gaussian_noise,3,0.1,0.9,0.9214879870414734,0.5262,-0.3738,1.7049
RAPS,0.01,2,True,gaussian_noise,3,0.05,0.95,0.9687336683273315,0.6051,-0.3449,2.1342
RAPS,0.01,2,True,gaussian_noise,4,0.1,0.9,0.9214879870414734,0.4503,-0.44970000000000004,1.681
RAPS,0.01,2,True,gaussian_noise,4,0.05,0.95,0.9687336683273315,0.5318,-0.4181999999999999,2.0992
RAPS,0.01,2,True,gaussian_noise,5,0.1,0.9,0.9214879870414734,0.3878,-0.5122,1.6414
RAPS,0.01,2,True,gaussian_noise,5,0.05,0.95,0.9687336683273315,0.4618,-0.48819999999999997,2.0564
RAPS,0.01,2,True,motion_blur,1,0.1,0.9,0.9214879870414734,0.861,-0.039000000000000035,1.2719
RAPS,0.01,2,True,motion_blur,1,0.05,0.95,0.9687336683273315,0.9202,-0.029799999999999938,1.5117
RAPS,0.01,2,True,motion_blur,2,0.1,0.9,0.9214879870414734,0.8027,-0.09730000000000005,1.4459
RAPS,0.01,2,True,motion_blur,2,0.05,0.95,0.9687336683273315,0.8674,-0.0826,1.7567
RAPS,0.01,2,True,motion_blur,3,0.1,0.9,0.9214879870414734,0.7322,-0.16780000000000006,1.5859
RAPS,0.01,2,True,motion_blur,3,0.05,0.95,0.9687336683273315,0.802,-0.1479999999999999,1.9631
RAPS,0.01,2,True,motion_blur,4,0.1,0.9,0.9214879870414734,0.7362,-0.16380000000000006,1.5914
RAPS,0.01,2,True,motion_blur,4,0.05,0.95,0.9687336683273315,0.808,-0.1419999999999999,1.9651
RAPS,0.01,2,True,motion_blur,5,0.1,0.9,0.9214879870414734,0.6711,-0.2289,1.6947
RAPS,0.01,2,True,motion_blur,5,0.05,0.95,0.9687336683273315,0.7445,-0.2054999999999999,2.1128
RAPS,0.01,2,True,brightness,1,0.1,0.9,0.9214879870414734,0.896,-0.0040000000000000036,1.1199
RAPS,0.01,2,True,brightness,1,0.05,0.95,0.9687336683273315,0.9483,-0.0016999999999999238,1.281
RAPS,0.01,2,True,brightness,2,0.1,0.9,0.9214879870414734,0.8936,-0.006400000000000072,1.1298
RAPS,0.01,2,True,brightness,2,0.05,0.95,0.9687336683273315,0.9477,-0.0022999999999999687,1.2985
RAPS,0.01,2,True,brightness,3,0.1,0.9,0.9214879870414734,0.8921,-0.007900000000000018,1.1533
RAPS,0.01,2,True,brightness,3,0.05,0.95,0.9687336683273315,0.9456,-0.0043999999999999595,1.3231
RAPS,0.01,2,True,brightness,4,0.1,0.9,0.9214879870414734,0.8888,-0.011199999999999988,1.166
RAPS,0.01,2,True,brightness,4,0.05,0.95,0.9687336683273315,0.9432,-0.006799999999999917,1.3511
RAPS,0.01,2,True,brightness,5,0.1,0.9,0.9214879870414734,0.8814,-0.01860000000000006,1.2312
RAPS,0.01,2,True,brightness,5,0.05,0.95,0.9687336683273315,0.9351,-0.014899999999999913,1.4415
RAPS,0.01,2,True,jpeg_compression,1,0.1,0.9,0.9214879870414734,0.8632,-0.036800000000000055,1.2879
RAPS,0.01,2,True,jpeg_compression,1,0.05,0.95,0.9687336683273315,0.9206,-0.02939999999999998,1.5251
RAPS,0.01,2,True,jpeg_compression,2,0.1,0.9,0.9214879870414734,0.8498,-0.05020000000000002,1.3924
RAPS,0.01,2,True,jpeg_compression,2,0.05,0.95,0.9687336683273315,0.9094,-0.04059999999999997,1.6835
RAPS,0.01,2,True,jpeg_compression,3,0.1,0.9,0.9214879870414734,0.8399,-0.06010000000000004,1.4367
RAPS,0.01,2,True,jpeg_compression,3,0.05,0.95,0.9687336683273315,0.9023,-0.047699999999999965,1.7438
RAPS,0.01,2,True,jpeg_compression,4,0.1,0.9,0.9214879870414734,0.8317,-0.06830000000000003,1.4812
RAPS,0.01,2,True,jpeg_compression,4,0.05,0.95,0.9687336683273315,0.8899,-0.06009999999999993,1.8035
RAPS,0.01,2,True,jpeg_compression,5,0.1,0.9,0.9214879870414734,0.8152,-0.08479999999999999,1.5481
RAPS,0.01,2,True,jpeg_compression,5,0.05,0.95,0.9687336683273315,0.8792,-0.07079999999999997,1.8957
