corruption,severity,delta,threshold,trigger_rate,energy_mean,energy_std
gaussian_noise,1,0.05,-5.355030059814453,0.1458,-8.06881046295166,2.6269655227661133
gaussian_noise,1,0.1,-6.272093772888184,0.2845,-8.06881046295166,2.6269655227661133
gaussian_noise,2,0.05,-5.355030059814453,0.2091,-7.219357967376709,2.3263819217681885
gaussian_noise,2,0.1,-6.272093772888184,0.4068,-7.219357967376709,2.3263819217681885
gaussian_noise,3,0.05,-5.355030059814453,0.2281,-6.969857215881348,2.122551441192627
gaussian_noise,3,0.1,-6.272093772888184,0.4474,-6.969857215881348,2.122551441192627
gaussian_noise,4,0.05,-5.355030059814453,0.1982,-7.036097049713135,2.0421009063720703
gaussian_noise,4,0.1,-6.272093772888184,0.4173,-7.036097049713135,2.0421009063720703
gaussian_noise,5,0.05,-5.355030059814453,0.1769,-7.151365756988525,1.9939371347427368
gaussian_noise,5,0.1,-6.272093772888184,0.3789,-7.151365756988525,1.9939371347427368
motion_blur,1,0.05,-5.355030059814453,0.0919,-8.98967170715332,2.754328727722168
motion_blur,1,0.1,-6.272093772888184,0.1787,-8.98967170715332,2.754328727722168
motion_blur,2,0.05,-5.355030059814453,0.1432,-8.066070556640625,2.5363657474517822
motion_blur,2,0.1,-6.272093772888184,0.2652,-8.066070556640625,2.5363657474517822
motion_blur,3,0.05,-5.355030059814453,0.1922,-7.416806221008301,2.2955541610717773
motion_blur,3,0.1,-6.272093772888184,0.3486,-7.416806221008301,2.2955541610717773
motion_blur,4,0.05,-5.355030059814453,0.1931,-7.413917064666748,2.296421766281128
motion_blur,4,0.1,-6.272093772888184,0.3451,-7.413917064666748,2.296421766281128
motion_blur,5,0.05,-5.355030059814453,0.2287,-7.0080742835998535,2.083360433578491
motion_blur,5,0.1,-6.272093772888184,0.4081,-7.0080742835998535,2.083360433578491
brightness,1,0.05,-5.355030059814453,0.0545,-10.200119972229004,2.9582841396331787
brightness,1,0.1,-6.272093772888184,0.1069,-10.200119972229004,2.9582841396331787
brightness,2,0.05,-5.355030059814453,0.0574,-10.116365432739258,2.9600489139556885
brightness,2,0.1,-6.272093772888184,0.1113,-10.116365432739258,2.9600489139556885
brightness,3,0.05,-5.355030059814453,0.0615,-9.958187103271484,2.9497292041778564
brightness,3,0.1,-6.272093772888184,0.1221,-9.958187103271484,2.9497292041778564
brightness,4,0.05,-5.355030059814453,0.0679,-9.746201515197754,2.918297290802002
brightness,4,0.1,-6.272093772888184,0.1339,-9.746201515197754,2.918297290802002
brightness,5,0.05,-5.355030059814453,0.0938,-9.197781562805176,2.8314480781555176
brightness,5,0.1,-6.272093772888184,0.1742,-9.197781562805176,2.8314480781555176
jpeg_compression,1,0.05,-5.355030059814453,0.1077,-8.79010009765625,2.767601490020752
jpeg_compression,1,0.1,-6.272093772888184,0.2048,-8.79010009765625,2.767601490020752
jpeg_compression,2,0.05,-5.355030059814453,0.1467,-8.173877716064453,2.630053997039795
jpeg_compression,2,0.1,-6.272093772888184,0.2674,-8.173877716064453,2.630053997039795
jpeg_compression,3,0.05,-5.355030059814453,0.1645,-7.983991622924805,2.591860294342041
jpeg_compression,3,0.1,-6.272093772888184,0.2918,-7.983991622924805,2.591860294342041
jpeg_compression,4,0.05,-5.355030059814453,0.1846,-7.791245460510254,2.5573370456695557
jpeg_compression,4,0.1,-6.272093772888184,0.3198,-7.791245460510254,2.5573370456695557
jpeg_compression,5,0.05,-5.355030059814453,0.2093,-7.507603168487549,2.4596810340881348
jpeg_compression,5,0.1,-6.272093772888184,0.3543,-7.507603168487549,2.4596810340881348
