method,corruption,severity,alpha,target_coverage,qhat_standard,qhat_weighted,qhat_final,coverage_standard,coverage_gap_standard,avg_set_size_standard,coverage_weighted,coverage_gap_weighted,avg_set_size_weighted,coverage_final,coverage_gap_final,avg_set_size_final,safe_to_weight,fallback_reason,ess,ess_ratio,max_weight,mean_weight,std_weight,domain_prob_mean,domain_prob_std
WCP-RAPS,gaussian_noise,1,0.1,0.9,0.9214879870414734,0.8916139602661133,0.9214879870414734,0.8165,-0.08350000000000002,1.4407,0.7844,-0.11560000000000004,1.3275,0.8148,-0.08520000000000005,1.4365,0,ess_and_max_weight,223.51351140439255,0.04470270228087851,32.02628462400412,1.0,4.622771063224591,0.09013226965601337,0.21480909895574227
WCP-RAPS,gaussian_noise,1,0.05,0.95,0.9687336683273315,0.938330352306366,0.9687336683273315,0.879,-0.07099999999999995,1.7516,0.8362,-0.1137999999999999,1.5206,0.8782,-0.07179999999999997,1.7477,0,ess_and_max_weight,223.51351140439255,0.04470270228087851,32.02628462400412,1.0,4.622771063224591,0.09013226965601337,0.21480909895574227
WCP-RAPS,gaussian_noise,2,0.1,0.9,0.9214879870414734,0.8798167109489441,0.9214879870414734,0.6873,-0.2127,1.6408,0.6359,-0.2641,1.4442,0.6811,-0.21889999999999998,1.6359,0,ess_and_max_weight,101.23681516772662,0.020247363033545324,70.56689195425955,1.0,6.956230842353635,0.04009799697554629,0.15027574435671967
WCP-RAPS,gaussian_noise,2,0.05,0.95,0.9687336683273315,0.9044538736343384,0.9687336683273315,0.7611,-0.18889999999999996,2.0399,0.6634,-0.28659999999999997,1.55,0.7604,-0.1896,2.039,0,ess_and_max_weight,101.23681516772662,0.020247363033545324,70.56689195425955,1.0,6.956230842353635,0.04009799697554629,0.15027574435671967
WCP-RAPS,gaussian_noise,3,0.1,0.9,0.9214879870414734,0.8987606167793274,0.9214879870414734,0.5288,-0.3712,1.7066,0.5021,-0.39790000000000003,1.5865,0.5278,-0.3722,1.7083,0,ess_and_max_weight,54.12032326528281,0.010824064653056563,130.5344904581409,1.0000000000000002,9.559640980294796,0.020034068403413857,0.10889341579378842
WCP-RAPS,gaussian_noise,3,0.05,0.95,0.9687336683273315,0.9697858691215515,0.9687336683273315,0.6073,-0.3427,2.1311,0.6093,-0.3407,2.152,0.6059,-0.34409999999999996,2.1301,0,ess_and_max_weight,54.12032326528281,0.010824064653056563,130.5344904581409,1.0000000000000002,9.559640980294796,0.020034068403413857,0.10889341579378842
WCP-RAPS,gaussian_noise,4,0.1,0.9,0.9214879870414734,0.8940352201461792,0.9214879870414734,0.4523,-0.44770000000000004,1.6813,0.4215,-0.47850000000000004,1.5414,0.4492,-0.45080000000000003,1.6821,0,ess_and_max_weight,36.34458127926539,0.007268916255853079,229.79476416411313,1.0000000000000002,11.686406197540315,0.014685645342528147,0.09056414143280765
WCP-RAPS,gaussian_noise,4,0.05,0.95,0.9687336683273315,0.9720050096511841,0.9687336683273315,0.5301,-0.41989999999999994,2.1061,0.5383,-0.41169999999999995,2.149,0.5289,-0.4210999999999999,2.0973,0,ess_and_max_weight,36.34458127926539,0.007268916255853079,229.79476416411313,1.0000000000000002,11.686406197540315,0.014685645342528147,0.09056414143280765
WCP-RAPS,gaussian_noise,5,0.1,0.9,0.9214879870414734,0.9044538736343384,0.9214879870414734,0.3897,-0.5103,1.6386,0.3717,-0.5283,1.5512,0.3904,-0.5096,1.6363,0,ess_and_max_weight,29.19435114573068,0.005838870229146136,278.2540398615965,1.0000000000000002,13.048601794519998,0.012312794722041082,0.08263936372777947
WCP-RAPS,gaussian_noise,5,0.05,0.95,0.9687336683273315,0.9720050096511841,0.9687336683273315,0.4621,-0.48789999999999994,2.0461,0.469,-0.481,2.0919,0.462,-0.48799999999999993,2.049,0,ess_and_max_weight,29.19435114573068,0.005838870229146136,278.2540398615965,1.0000000000000002,13.048601794519998,0.012312794722041082,0.08263936372777947
