corruption,severity,alpha,delta,coverage_standard,coverage_gap_standard,avg_set_size_standard,gate_trigger_rate,gate_threshold,energy_mean,energy_std,coverage_weighted,coverage_gap_weighted,avg_set_size_weighted,coverage_final,coverage_gap_final,avg_set_size_final,ess_ratio,max_weight,mean_weight,std_weight,safe_to_weight,mode
gaussian_noise,1,0.1,0.05,0.8155,-0.08450000000000002,1.4443,0.1458,-5.355030059814453,-8.06881046295166,2.6269655227661133,0.8086,-0.09140000000000004,1.4083,0.8148,-0.08520000000000005,1.4365,0.15145452680176377,10.74416071824752,0.9999999999999998,2.3669900442520326,0,ess
gaussian_noise,1,0.1,0.1,0.8155,-0.08450000000000002,1.4443,0.2845,-6.272093772888184,-8.06881046295166,2.6269655227661133,0.8086,-0.09140000000000004,1.4083,0.8148,-0.08520000000000005,1.4365,0.15145452680176377,10.74416071824752,0.9999999999999998,2.3669900442520326,0,ess
gaussian_noise,1,0.05,0.05,0.8802,-0.06979999999999997,1.7486,0.1458,-5.355030059814453,-8.06881046295166,2.6269655227661133,0.8761,-0.07389999999999997,1.7132,0.8782,-0.07179999999999997,1.7477,0.15145452680176377,10.74416071824752,0.9999999999999998,2.3669900442520326,0,ess
gaussian_noise,1,0.05,0.1,0.8802,-0.06979999999999997,1.7486,0.2845,-6.272093772888184,-8.06881046295166,2.6269655227661133,0.8761,-0.07389999999999997,1.7132,0.8782,-0.07179999999999997,1.7477,0.15145452680176377,10.74416071824752,0.9999999999999998,2.3669900442520326,0,ess
gaussian_noise,2,0.1,0.05,0.6853,-0.2147,1.6394,0.2091,-5.355030059814453,-7.219357967376709,2.3263819217681885,0.6583,-0.24170000000000003,1.5306,0.6811,-0.21889999999999998,1.6359,0.06986777016118191,21.379076913980796,1.0,3.648664281551719,0,ess_and_max_weight
gaussian_noise,2,0.1,0.1,0.6853,-0.2147,1.6394,0.4068,-6.272093772888184,-7.219357967376709,2.3263819217681885,0.6583,-0.24170000000000003,1.5306,0.6811,-0.21889999999999998,1.6359,0.06986777016118191,21.379076913980796,1.0,3.648664281551719,0,ess_and_max_weight
gaussian_noise,2,0.05,0.05,0.7611,-0.18889999999999996,2.0387,0.2091,-5.355030059814453,-7.219357967376709,2.3263819217681885,0.7614,-0.1886,2.0418,0.7604,-0.1896,2.039,0.06986777016118191,21.379076913980796,1.0,3.648664281551719,0,ess_and_max_weight
gaussian_noise,2,0.05,0.1,0.7611,-0.18889999999999996,2.0387,0.4068,-6.272093772888184,-7.219357967376709,2.3263819217681885,0.7614,-0.1886,2.0418,0.7604,-0.1896,2.039,0.06986777016118191,21.379076913980796,1.0,3.648664281551719,0,ess_and_max_weight
gaussian_noise,3,0.1,0.05,0.5262,-0.3738,1.7049,0.2281,-5.355030059814453,-6.969857215881348,2.122551441192627,0.494,-0.406,1.5493,0.5278,-0.3722,1.7083,0.03668890692344794,39.491780857319185,1.0,5.124079913573471,0,ess_and_max_weight
gaussian_noise,3,0.1,0.1,0.5262,-0.3738,1.7049,0.4474,-6.272093772888184,-6.969857215881348,2.122551441192627,0.494,-0.406,1.5493,0.5278,-0.3722,1.7083,0.03668890692344794,39.491780857319185,1.0,5.124079913573471,0,ess_and_max_weight
