corruption,severity,alpha,delta,coverage_standard,coverage_gap_standard,avg_set_size_standard,gate_trigger_rate,gate_threshold,energy_mean,energy_std,coverage_weighted,coverage_gap_weighted,avg_set_size_weighted,coverage_final,coverage_gap_final,avg_set_size_final,ess_ratio,max_weight,mean_weight,std_weight,safe_to_weight,mode
brightness,1,0.1,0.1,0.896,-0.0040000000000000036,1.1199,0.1069,-6.272093772888184,-10.200119972229004,2.9582841396331787,0.8903,-0.009700000000000042,1.1104,0.8923,-0.00770000000000004,1.1108,0.907999429068094,3.0452107597750464,1.0,0.31831160580805234,1,weighted
brightness,2,0.1,0.1,0.8936,-0.006400000000000072,1.1298,0.1113,-6.272093772888184,-10.116365432739258,2.9600489139556885,0.8871,-0.012900000000000023,1.1178,0.8856,-0.014399999999999968,1.1148,0.7405393957683284,4.9235105777204895,1.0,0.5919181117202327,1,weighted
brightness,3,0.1,0.1,0.8921,-0.007900000000000018,1.1533,0.1221,-6.272093772888184,-9.958187103271484,2.9497292041778564,0.8868,-0.01319999999999999,1.1341,0.8852,-0.014800000000000035,1.1325,0.562801887179902,4.966182575195413,1.0,0.8813762970466135,1,weighted
brightness,4,0.1,0.1,0.8888,-0.011199999999999988,1.166,0.1339,-6.272093772888184,-9.746201515197754,2.918297290802002,0.8848,-0.015199999999999991,1.154,0.8807,-0.019299999999999984,1.1517,0.4603343673571287,5.235411828248055,1.0,1.0827437394233994,1,weighted
brightness,5,0.1,0.1,0.8814,-0.01860000000000006,1.2312,0.1742,-6.272093772888184,-9.197781562805176,2.8314480781555176,0.874,-0.026000000000000023,1.2164,0.8727,-0.02729999999999999,1.2216,0.3119807779715084,6.270489996640123,1.0,1.4850338993601064,1,weighted
gaussian_noise,1,0.1,0.1,0.8155,-0.08450000000000002,1.4443,0.2845,-6.272093772888184,-8.06881046295166,2.6269655227661133,0.8086,-0.09140000000000004,1.4083,0.8148,-0.08520000000000005,1.4365,0.15145452680176377,10.74416071824752,0.9999999999999998,2.3669900442520326,0,ess
gaussian_noise,2,0.1,0.1,0.6853,-0.2147,1.6394,0.4068,-6.272093772888184,-7.219357967376709,2.3263819217681885,0.6583,-0.24170000000000003,1.5306,0.6811,-0.21889999999999998,1.6359,0.06986777016118191,21.379076913980796,1.0,3.648664281551719,0,ess_and_max_weight
gaussian_noise,3,0.1,0.1,0.5262,-0.3738,1.7049,0.4474,-6.272093772888184,-6.969857215881348,2.122551441192627,0.494,-0.406,1.5493,0.5278,-0.3722,1.7083,0.03668890692344794,39.491780857319185,1.0,5.124079913573471,0,ess_and_max_weight
gaussian_noise,4,0.1,0.1,0.4503,-0.44970000000000004,1.681,0.4173,-6.272093772888184,-7.036097049713135,2.0421009063720703,0.4197,-0.4803,1.5306,0.4492,-0.45080000000000003,1.6821,0.027204192237627815,54.644566441424836,1.0,5.979886315341479,0,ess_and_max_weight
gaussian_noise,5,0.1,0.1,0.3878,-0.5122,1.6414,0.3789,-6.272093772888184,-7.151365756988525,1.9939371347427368,0.3619,-0.5381,1.5012,0.3904,-0.5096,1.6363,0.021701823766533717,71.19464142411027,1.0,6.714095368247665,0,ess_and_max_weight
jpeg_compression,1,0.1,0.1,0.8632,-0.036800000000000055,1.2879,0.2048,-6.272093772888184,-8.79010009765625,2.767601490020752,0.8715,-0.02849999999999997,1.3155,0.8675,-0.03249999999999997,1.3127,0.42562578918183436,5.177893637036015,1.0,1.161671938881235,1,weighted
jpeg_compression,2,0.1,0.1,0.8498,-0.05020000000000002,1.3924,0.2674,-6.272093772888184,-8.173877716064453,2.630053997039795,0.8623,-0.03770000000000007,1.4378,0.8566,-0.043399999999999994,1.4331,0.3322041785951202,5.9553680644032205,1.0,1.4178141395804589,1,weighted
jpeg_compression,3,0.1,0.1,0.8399,-0.06010000000000004,1.4367,0.2918,-6.272093772888184,-7.983991622924805,2.591860294342041,0.853,-0.04700000000000004,1.4914,0.8531,-0.04690000000000005,1.4916,0.30822983684687094,6.283604233470504,1.0,1.4981095586415818,1,weighted
jpeg_compression,4,0.1,0.1,0.8317,-0.06830000000000003,1.4812,0.3198,-6.272093772888184,-7.791245460510254,2.5573370456695557,0.8506,-0.0494,1.5755,0.8292,-0.07079999999999997,1.4824,0.2831068090866655,6.716414940455792,1.0,1.591300027593373,0,ess
jpeg_compression,5,0.1,0.1,0.8152,-0.08479999999999999,1.5481,0.3543,-6.272093772888184,-7.507603168487549,2.4596810340881348,0.8348,-0.06520000000000004,1.6329,0.8081,-0.09189999999999998,1.5446,0.24460362775177436,7.5101329279919895,1.0,1.7573408338853038,0,ess
motion_blur,1,0.1,0.1,0.861,-0.039000000000000035,1.2719,0.1787,-6.272093772888184,-8.98967170715332,2.754328727722168,0.8734,-0.026600000000000068,1.3097,0.8735,-0.026499999999999968,1.3112,0.31863743164548375,6.166130374979873,1.0,1.4623143412345665,1,weighted
motion_blur,2,0.1,0.1,0.8027,-0.09730000000000005,1.4459,0.2652,-6.272093772888184,-8.066070556640625,2.5363657474517822,0.8339,-0.06610000000000005,1.5696,0.8003,-0.09970000000000001,1.4405,0.17440120290780853,9.97178861773962,1.0000000000000002,2.175753985414769,0,ess
