corruption,severity,alpha,delta,gate_mode,qhat_standard,qhat_weighted,ess,ess_ratio,max_weight,weights_stable,abstain_rate,coverage_non_abstain,coverage_gap_non_abstain,avg_set_size_non_abstain,count_weighted,count_fallback,count_abstain
gaussian_noise,1,0.1,0.1,energy,0.9214879870414734,0.9133374691009521,757.2726340088188,0.15145452680176377,10.74416071824752,0,0.2845,0.8455625436757512,-0.05443745632424879,1.081621243885395,0,7155,2845
gaussian_noise,2,0.1,0.1,energy,0.9214879870414734,0.9002548456192017,349.33885080590954,0.06986777016118191,21.379076913980796,0,0.4068,0.7019554956169926,-0.19804450438300747,1.1351989211058664,0,5932,4068
gaussian_noise,3,0.1,0.1,energy,0.9214879870414734,0.8901853561401367,183.44453461723973,0.03668890692344794,39.491780857319185,0,0.4474,0.501628664495114,-0.398371335504886,1.1512848353239233,0,5526,4474
gaussian_noise,4,0.1,0.1,energy,0.9214879870414734,0.8916139602661133,136.02096118813907,0.027204192237627815,54.644566441424836,0,0.4173,0.4201132658314742,-0.47988673416852584,1.1748755792002745,0,5827,4173
gaussian_noise,5,0.1,0.1,energy,0.9214879870414734,0.8940352201461792,108.50911883266858,0.021701823766533717,71.19464142411027,0,0.3789,0.3447109966189019,-0.5552890033810981,1.1800032200933828,0,6211,3789
motion_blur,1,0.1,0.1,energy,0.9214879870414734,0.93170565366745,1593.1871582274189,0.31863743164548375,6.166130374979873,1,0.1787,0.8853037866796543,-0.014696213320345763,1.071959089248752,8213,0,1787
motion_blur,2,0.1,0.1,energy,0.9214879870414734,0.9433304071426392,872.0060145390427,0.17440120290780853,9.97178861773962,0,0.2652,0.8274360370168753,-0.07256396298312473,1.1224823081110507,0,7348,2652
motion_blur,3,0.1,0.1,energy,0.9214879870414734,0.9476510882377625,535.4568490916786,0.10709136981833571,15.376690051673211,0,0.3486,0.7569849554805035,-0.14301504451949654,1.1673319005219527,0,6514,3486
motion_blur,4,0.1,0.1,energy,0.9214879870414734,0.9444323182106018,525.6225908655935,0.10512451817311869,15.480815999051059,0,0.3451,0.7607268285234386,-0.13927317147656137,1.1658268437929455,0,6549,3451
motion_blur,5,0.1,0.1,energy,0.9214879870414734,0.9491523504257202,338.6423292150383,0.06772846584300765,23.94151842386242,0,0.4081,0.6942051022132117,-0.20579489778678828,1.1802669369825984,0,5919,4081
brightness,1,0.1,0.1,energy,0.9214879870414734,0.9184759259223938,4539.9971453404705,0.907999429068094,3.0452107597750464,1,0.1069,0.893404993841675,-0.006595006158324979,0.9870115328630612,8931,0,1069
brightness,2,0.1,0.1,energy,0.9214879870414734,0.9151930809020996,3702.696978841642,0.7405393957683284,4.9235105777204895,1,0.1113,0.8941149994373805,-0.005885000562619536,0.9887476088668842,8887,0,1113
brightness,3,0.1,0.1,energy,0.9214879870414734,0.9146767854690552,2814.0094358995098,0.562801887179902,4.966182575195413,1,0.1221,0.8887116983711129,-0.011288301628887165,0.99100125299009,8779,0,1221
brightness,4,0.1,0.1,energy,0.9214879870414734,0.9154037237167358,2301.6718367856433,0.4603343673571287,5.235411828248055,1,0.1339,0.8881191548320055,-0.01188084516799448,0.9959588962013625,8661,0,1339
brightness,5,0.1,0.1,energy,0.9214879870414734,0.9207452535629272,1559.903889857542,0.3119807779715084,6.270489996640123,1,0.1742,0.881569387260838,-0.018430612739162022,1.0094453862920805,8258,0,1742
jpeg_compression,1,0.1,0.1,energy,0.9214879870414734,0.9287477135658264,2128.1289459091718,0.42562578918183436,5.177893637036015,1,0.2048,0.8797786720321932,-0.020221327967806846,1.0387323943661972,7952,0,2048
jpeg_compression,2,0.1,0.1,energy,0.9214879870414734,0.9305603504180908,1661.0208929756009,0.3322041785951202,5.9553680644032205,1,0.2674,0.8751023751023751,-0.024897624897624926,1.0813540813540814,7326,0,2674
jpeg_compression,3,0.1,0.1,energy,0.9214879870414734,0.9330459237098694,1541.1491842343546,0.30822983684687094,6.283604233470504,1,0.2918,0.865009884213499,-0.03499011578650102,1.0898051397910196,7082,0,2918
jpeg_compression,4,0.1,0.1,energy,0.9214879870414734,0.938342273235321,1415.5340454333277,0.2831068090866655,6.716414940455792,0,0.3198,0.8476918553366657,-0.05230814466333433,1.0732137606586298,0,6802,3198
jpeg_compression,5,0.1,0.1,energy,0.9214879870414734,0.9377280473709106,1223.0181387588718,0.24460362775177436,7.5101329279919895,0,0.3543,0.824686386866966,-0.07531361313303397,1.0904444788601517,0,6457,3543
