corruption,severity,sample_index,true_label,gate_score,gate_threshold,ood_flag,weights_stable,status,pred_set_size,pred_set
gaussian_noise,1,0,3,-7.248558044433594,-6.272093772888184,0,0,fallback,1,[3]
gaussian_noise,1,1,8,-6.695633888244629,-6.272093772888184,0,0,fallback,1,[8]
gaussian_noise,1,2,8,-4.638131141662598,-6.272093772888184,1,0,abstain/OOD,0,[]
gaussian_noise,1,3,0,-5.5192718505859375,-6.272093772888184,1,0,abstain/OOD,0,[]
gaussian_noise,1,4,6,-13.209306716918945,-6.272093772888184,0,0,fallback,1,[6]
gaussian_noise,1,5,6,-14.121066093444824,-6.272093772888184,0,0,fallback,1,[6]
gaussian_noise,1,6,1,-4.399813652038574,-6.272093772888184,1,0,abstain/OOD,0,[]
gaussian_noise,1,7,6,-6.22300386428833,-6.272093772888184,1,0,abstain/OOD,0,[]
gaussian_noise,1,8,3,-9.483952522277832,-6.272093772888184,0,0,fallback,1,[3]
gaussian_noise,1,9,1,-4.9454731941223145,-6.272093772888184,1,0,abstain/OOD,0,[]
gaussian_noise,1,10,0,-3.9833321571350098,-6.272093772888184,1,0,abstain/OOD,0,[]
gaussian_noise,1,11,9,-13.7380952835083,-6.272093772888184,0,0,fallback,1,[9]
gaussian_noise,1,12,5,-5.849697589874268,-6.272093772888184,1,0,abstain/OOD,0,[]
gaussian_noise,1,13,7,-9.67776870727539,-6.272093772888184,0,0,fallback,1,[7]
gaussian_noise,1,14,9,-7.131378650665283,-6.272093772888184,0,0,fallback,1,[9]
gaussian_noise,1,15,8,-4.593607425689697,-6.272093772888184,1,0,abstain/OOD,0,[]
gaussian_noise,1,16,5,-5.437663555145264,-6.272093772888184,1,0,abstain/OOD,0,[]
gaussian_noise,1,17,7,-7.105185031890869,-6.272093772888184,0,0,fallback,1,[7]
gaussian_noise,1,18,8,-7.1738810539245605,-6.272093772888184,0,0,fallback,1,[8]
gaussian_noise,1,19,6,-16.100454330444336,-6.272093772888184,0,0,fallback,1,[6]
gaussian_noise,1,20,7,-3.7873799800872803,-6.272093772888184,1,0,abstain/OOD,0,[]
gaussian_noise,1,21,0,-7.314904689788818,-6.272093772888184,0,0,fallback,1,[2]
gaussian_noise,1,22,4,-5.248694896697998,-6.272093772888184,1,0,abstain/OOD,0,[]
gaussian_noise,1,23,9,-13.145763397216797,-6.272093772888184,0,0,fallback,1,[9]
gaussian_noise,1,24,5,-7.7769036293029785,-6.272093772888184,0,0,fallback,2,"[4, 5]"
gaussian_noise,1,25,2,-6.055846691131592,-6.272093772888184,1,0,abstain/OOD,0,[]
gaussian_noise,1,26,4,-5.81449556350708,-6.272093772888184,1,0,abstain/OOD,0,[]
gaussian_noise,1,27,0,-7.924582481384277,-6.272093772888184,0,0,fallback,1,[0]
gaussian_noise,1,28,9,-7.1148223876953125,-6.272093772888184,0,0,fallback,1,[9]
gaussian_noise,1,29,6,-12.89612102508545,-6.272093772888184,0,0,fallback,1,[6]
gaussian_noise,1,30,6,-8.985066413879395,-6.272093772888184,0,0,fallback,1,[6]
gaussian_noise,1,31,5,-6.557288646697998,-6.272093772888184,0,0,fallback,2,"[5, 6]"
gaussian_noise,1,32,4,-6.279153347015381,-6.272093772888184,0,0,fallback,1,[8]
gaussian_noise,1,33,5,-6.556830406188965,-6.272093772888184,0,0,fallback,2,"[5, 3]"
gaussian_noise,1,34,9,-6.586147308349609,-6.272093772888184,0,0,fallback,1,[9]
gaussian_noise,1,35,2,-5.015051364898682,-6.272093772888184,1,0,abstain/OOD,0,[]
gaussian_noise,1,36,4,-10.276576042175293,-6.272093772888184,0,0,fallback,1,[4]
gaussian_noise,1,37,1,-5.930489540100098,-6.272093772888184,1,0,abstain/OOD,0,[]
gaussian_noise,1,38,9,-13.54258918762207,-6.272093772888184,0,0,fallback,1,[9]
gaussian_noise,1,39,5,-7.29786491394043,-6.272093772888184,0,0,fallback,1,[5]
gaussian_noise,1,40,4,-10.19589900970459,-6.272093772888184,0,0,fallback,0,[]
gaussian_noise,1,41,6,-12.766010284423828,-6.272093772888184,0,0,fallback,1,[6]
gaussian_noise,1,42,5,-8.553831100463867,-6.272093772888184,0,0,fallback,1,[5]
gaussian_noise,1,43,6,-15.681220054626465,-6.272093772888184,0,0,fallback,1,[6]
