corruption,severity,delta,gate,trigger_rate
gaussian_noise,1,0.05,Energy,0.1458
gaussian_noise,1,0.05,EDL,0.0367
gaussian_noise,1,0.05,Combined,0.1335
gaussian_noise,1,0.1,Energy,0.2845
gaussian_noise,1,0.1,EDL,0.0785
gaussian_noise,1,0.1,Combined,0.2594
gaussian_noise,2,0.05,Energy,0.2091
gaussian_noise,2,0.05,EDL,0.0271
gaussian_noise,2,0.05,Combined,0.1833
gaussian_noise,2,0.1,Energy,0.4068
gaussian_noise,2,0.1,EDL,0.0658
gaussian_noise,2,0.1,Combined,0.3571
gaussian_noise,3,0.05,Energy,0.2281
gaussian_noise,3,0.05,EDL,0.023
gaussian_noise,3,0.05,Combined,0.1968
gaussian_noise,3,0.1,Energy,0.4474
gaussian_noise,3,0.1,EDL,0.0538
gaussian_noise,3,0.1,Combined,0.3839
gaussian_noise,4,0.05,Energy,0.1982
gaussian_noise,4,0.05,EDL,0.0193
gaussian_noise,4,0.05,Combined,0.1689
gaussian_noise,4,0.1,Energy,0.4173
gaussian_noise,4,0.1,EDL,0.0437
gaussian_noise,4,0.1,Combined,0.3469
gaussian_noise,5,0.05,Energy,0.1769
gaussian_noise,5,0.05,EDL,0.0134
gaussian_noise,5,0.05,Combined,0.1458
gaussian_noise,5,0.1,Energy,0.3789
gaussian_noise,5,0.1,EDL,0.0333
gaussian_noise,5,0.1,Combined,0.3128
motion_blur,1,0.05,Energy,0.0919
motion_blur,1,0.05,EDL,0.0535
motion_blur,1,0.05,Combined,0.091
motion_blur,1,0.1,Energy,0.1787
motion_blur,1,0.1,EDL,0.1143
motion_blur,1,0.1,Combined,0.1743
motion_blur,2,0.05,Energy,0.1432
motion_blur,2,0.05,EDL,0.0543
motion_blur,2,0.05,Combined,0.1374
motion_blur,2,0.1,Energy,0.2652
motion_blur,2,0.1,EDL,0.1222
motion_blur,2,0.1,Combined,0.2563
motion_blur,3,0.05,Energy,0.1922
motion_blur,3,0.05,EDL,0.0478
motion_blur,3,0.05,Combined,0.1828
motion_blur,3,0.1,Energy,0.3486
motion_blur,3,0.1,EDL,0.1155
motion_blur,3,0.1,Combined,0.3367
motion_blur,4,0.05,Energy,0.1931
motion_blur,4,0.05,EDL,0.0474
motion_blur,4,0.05,Combined,0.1878
motion_blur,4,0.1,Energy,0.3451
motion_blur,4,0.1,EDL,0.1134
motion_blur,4,0.1,Combined,0.3375
motion_blur,5,0.05,Energy,0.2287
motion_blur,5,0.05,EDL,0.0397
motion_blur,5,0.05,Combined,0.2174
motion_blur,5,0.1,Energy,0.4081
motion_blur,5,0.1,EDL,0.1046
motion_blur,5,0.1,Combined,0.3981
brightness,1,0.05,Energy,0.0545
brightness,1,0.05,EDL,0.0582
brightness,1,0.05,Combined,0.0536
brightness,1,0.1,Energy,0.1069
brightness,1,0.1,EDL,0.1063
brightness,1,0.1,Combined,0.1042
brightness,2,0.05,Energy,0.0574
brightness,2,0.05,EDL,0.0584
brightness,2,0.05,Combined,0.0575
brightness,2,0.1,Energy,0.1113
brightness,2,0.1,EDL,0.1082
brightness,2,0.1,Combined,0.1092
brightness,3,0.05,Energy,0.0615
brightness,3,0.05,EDL,0.0599
brightness,3,0.05,Combined,0.0612
brightness,3,0.1,Energy,0.1221
brightness,3,0.1,EDL,0.1119
brightness,3,0.1,Combined,0.1189
brightness,4,0.05,Energy,0.0679
brightness,4,0.05,EDL,0.0587
brightness,4,0.05,Combined,0.0676
brightness,4,0.1,Energy,0.1339
brightness,4,0.1,EDL,0.1116
brightness,4,0.1,Combined,0.129
brightness,5,0.05,Energy,0.0938
brightness,5,0.05,EDL,0.0544
brightness,5,0.05,Combined,0.0925
brightness,5,0.1,Energy,0.1742
brightness,5,0.1,EDL,0.1098
brightness,5,0.1,Combined,0.168
jpeg_compression,1,0.05,Energy,0.1077
jpeg_compression,1,0.05,EDL,0.0432
jpeg_compression,1,0.05,Combined,0.1026
jpeg_compression,1,0.1,Energy,0.2048
jpeg_compression,1,0.1,EDL,0.088
jpeg_compression,1,0.1,Combined,0.1957
jpeg_compression,2,0.05,Energy,0.1467
jpeg_compression,2,0.05,EDL,0.0465
jpeg_compression,2,0.05,Combined,0.14
jpeg_compression,2,0.1,Energy,0.2674
jpeg_compression,2,0.1,EDL,0.0991
jpeg_compression,2,0.1,Combined,0.2558
jpeg_compression,3,0.05,Energy,0.1645
jpeg_compression,3,0.05,EDL,0.0486
jpeg_compression,3,0.05,Combined,0.1578
jpeg_compression,3,0.1,Energy,0.2918
jpeg_compression,3,0.1,EDL,0.102
jpeg_compression,3,0.1,Combined,0.2819
jpeg_compression,4,0.05,Energy,0.1846
jpeg_compression,4,0.05,EDL,0.0499
jpeg_compression,4,0.05,Combined,0.1816
jpeg_compression,4,0.1,Energy,0.3198
jpeg_compression,4,0.1,EDL,0.1076
jpeg_compression,4,0.1,Combined,0.3065
jpeg_compression,5,0.05,Energy,0.2093
jpeg_compression,5,0.05,EDL,0.0543
jpeg_compression,5,0.05,Combined,0.2034
jpeg_compression,5,0.1,Energy,0.3543
jpeg_compression,5,0.1,EDL,0.1217
jpeg_compression,5,0.1,Combined,0.3428
